,year,tournament,match id,series id,end time,duration (s),mode,map,team,player,win?,score,kills,deaths,+/-,k/d,kills per 10min,deaths per 10min,assists,headshots,suicides,team kills,team deaths,kills (stayed alive),hits,shots,accuracy (%),num lives,time alive (s),avg time per life (s),snd rounds,snd firstbloods,snd firstdeaths,snd survives,bomb pickups,bomb plants,bomb defuses,bomb sneak defuses,snd 1-kill round,snd 2-kill round,snd 3-kill round,snd 4-kill round,2-piece,3-piece,4-piece,4-streak,5-streak,6-streak,7-streak,8+-streak
205,2018,dallas,c101fae6-ad51-5647-82da-951e572c2dcc,pool-C-0,2017-12-09 15:59:09 UTC,684.0,Search & Destroy,Ardennes Forest,Team Kaliber,Chino,,6,9,6,3,1.5,7.9,5.3,2,0,0,0,0,9,30,177,16.9,11,499.8,45.4,11,2,1,5,1,1,0,0,2,2,1,0,2,0,0,0,0,0,0,0
206,2018,dallas,c101fae6-ad51-5647-82da-951e572c2dcc,pool-C-0,2017-12-09 15:59:09 UTC,684.0,Search & Destroy,Ardennes Forest,Team Kaliber,Kenny,,6,12,8,4,1.5,10.5,7.0,3,0,0,0,0,9,58,265,21.9,11,513.6,46.7,11,3,0,3,1,1,0,0,6,0,2,0,2,0,0,0,0,0,0,0
207,2018,dallas,c101fae6-ad51-5647-82da-951e572c2dcc,pool-C-0,2017-12-09 15:59:09 UTC,684.0,Search & Destroy,Ardennes Forest,Team Kaliber,Theory,,6,6,6,0,1.0,5.3,5.3,3,1,0,0,0,5,39,125,31.2,11,557.6,50.7,11,1,0,5,4,3,0,0,3,0,1,0,0,0,0,0,0,0,0,0
216,2018,dallas,bdda675b-f6b8-5070-a915-022f1e4596de,pool-A-7,2017-12-09 16:11:02 UTC,397.0,Search & Destroy,Sainte Marie du Mont,Team EnVyUs,Classic,,6,3,3,0,1.0,4.5,4.5,5,2,0,0,0,2,17,55,30.9,7,318.9,45.5,7,1,0,4,3,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0
217,2018,dallas,bdda675b-f6b8-5070-a915-022f1e4596de,pool-A-7,2017-12-09 16:11:02 UTC,397.0,Search & Destroy,Sainte Marie du Mont,Team EnVyUs,Huke,,6,7,5,2,1.4,10.6,7.6,2,0,0,0,0,4,24,106,22.6,7,262.1,37.5,7,2,0,2,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0
218,2018,dallas,bdda675b-f6b8-5070-a915-022f1e4596de,pool-A-7,2017-12-09 16:11:02 UTC,397.0,Search & Destroy,Sainte Marie du Mont,Team EnVyUs,Slasher,,6,7,1,6,7.0,10.6,1.5,1,0,0,0,0,7,14,34,41.2,7,358.1,51.1,7,1,1,6,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0
219,2018,dallas,bdda675b-f6b8-5070-a915-022f1e4596de,pool-A-7,2017-12-09 16:11:02 UTC,397.0,Search & Destroy,Sainte Marie du Mont,Team EnVyUs,Temp,,6,8,2,6,4.0,12.1,3.0,0,0,0,0,0,8,16,78,20.5,7,364.1,52.0,7,2,0,5,0,0,0,0,3,1,1,0,1,0,0,0,0,0,0,0
220,2018,dallas,bdda675b-f6b8-5070-a915-022f1e4596de,pool-A-7,2017-12-09 16:11:02 UTC,397.0,Search & Destroy,Sainte Marie du Mont,Unilad,Moose,,1,2,7,-5,0.29,3.0,10.6,1,0,0,0,0,1,12,30,40.0,7,228.4,32.6,7,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
221,2018,dallas,bdda675b-f6b8-5070-a915-022f1e4596de,pool-A-7,2017-12-09 16:11:02 UTC,397.0,Search & Destroy,Sainte Marie du Mont,Unilad,Seany,,1,2,6,-4,0.33,3.0,9.1,1,0,0,0,0,1,8,30,26.7,7,188.1,26.9,7,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
222,2018,dallas,bdda675b-f6b8-5070-a915-022f1e4596de,pool-A-7,2017-12-09 16:11:02 UTC,397.0,Search & Destroy,Sainte Marie du Mont,Unilad,Skrapz,,1,4,6,-2,0.67,6.0,9.1,2,2,0,0,0,4,19,71,26.8,7,312.6,44.6,7,0,2,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
